sensor,start_time,end_time
FLWR-O-002,20250724000000,20250804090331
FLWR-O-004,20250724000000,20250728000000
FLWR-O-008,20250724000000,20250805000000
FLWR-O-012,20250725030000,20250804090000
FLWR-O-020,20250724000000,20250728063739
FLWR-O-021,20250724000000,20250728070629
FLWR-O-033,20250724000000,20250804090000
FLWR-O-045,20250724000000,20250802010000
